id_clientes;nome;sobrenome;usuario;email;cpf;celular;senha;data_hora_cadastro;data_hora_atualizacao;status
1;João;da Silva;joaosilva;j.silva@email.com;54684557146;67992424375;d26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c15d;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
2;Maria;Oliveira;mariaoliveira;maria.o@email.com;16480670345;44992424376;7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
3;José;Pereira;josepereira;jose.p@email.com;13723812449;11992424377;fbfbc7a157c7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3d;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
4;Ana;Santos;anasantos;ana.s@email.com;84374980822;21992424378;a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c15dd26f491;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
5;Carlos;Lima;carloslima;carlos.l@email.com;53439231941;48992424379;7c7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a15;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
6;Amanda;Costa;amandacosta;amanda.c@email.com;55031871482;54992424380;20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c15dd26f491a95c;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
7;Fernando;Rodrigues;fernandorodrigues;fernando.r@email.com;18875739170;11992424381;15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
8;Lúcia;Martins;luciamartins;lucia.m@email.com;82542611807;31992424382;794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c15dd26f491a95c20;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
9;Pedro;Almeida;pedroalmeida;pedro.a@email.com;91665606835;61992424383;2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c15dd26f491a95c20794da39b;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
10;Sandra;Souza;sandrasouza;sandra.s@email.com;67518338815;11992424384;157c7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
11;Ricardo;Silva;ricardosilva;ricardo.s@email.com;99404144550;34992424385;7a157c7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
12;Mariana;Oliveira;marianaoliveira;mariana.o1@email.com;80643775528;55992424386;fbfbc7a157c7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3d;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
13;Fábio;Pereira;fabiopereira;fabio.p@email.com;65792714690;37992424387;7c7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a15;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
14;Patrícia;Santos;patriciasantos;patricia.s@email.com;60556677978;11992424388;a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c15dd26f491;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
15;Júlio;Lima;juliolima;julio.l@email.com;72422380301;11992424389;20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c15dd26f491a95c;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
16;Camila;Costa;camilacosta;camila.c@email.com;41554696500;62992424390;15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
17;Rafael;Rodrigues;rafaelrodrigues;rafael.r@email.com;21724382276;71992424391;794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c15dd26f491a95c20;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
